"Company","Date","Time","Rocket","Mission","RocketStatus","Price","MissionStatus","Country_id"
"RVSN USSR","1975-03-12","2022-08-15 08:55:00","Voskhod","Cosmos 719","1","0","2","21"
"RVSN USSR","1975-03-21","2022-08-15 06:50:00","Soyuz U","Cosmos 720","1","0","2","14"
"RVSN USSR","1975-03-26","2022-08-15 08:50:00","Voskhod","Cosmos 721","1","0","2","14"
"RVSN USSR","1975-03-27","2022-08-15 08:00:00","Voskhod","Cosmos 722","1","0","2","21"
"RVSN USSR","1975-03-27","2022-08-15 14:30:00","Cosmos-3M (11K65M)","Intercosmos-13","1","0","2","14"
"RVSN USSR","1975-04-01","2022-08-15 12:30:00","Vostok-2M","Meteor n†­31","1","0","2","14"
"RVSN USSR","1975-04-02","2022-08-15 11:00:00","Tsyklon-2","Cosmos 723","1","0","2","21"
"RVSN USSR","1975-04-05","2022-08-15 11:04:00","Soyuz","Soyuz 18a (7K-T n†­39)","1","0","4","21"
"RVSN USSR","1975-04-07","2022-08-15 11:00:00","Tsyklon-2","Cosmos 724","1","0","2","21"
"RVSN USSR","1975-04-08","2022-08-15 18:30:00","Cosmos-2I (63SM)","Cosmos 725","1","0","2","14"
"RVSN USSR","1975-04-11","2022-08-15 07:57:00","Cosmos-3M (11K65M)","Cosmos 726","1","0","2","14"
"General Dynamics","1975-04-13","2022-08-15 00:51:00","Atlas-E/F Star-17A","P72-2","1","0","4","3"
"RVSN USSR","1975-04-14","2022-08-15 17:52:00","Molniya-M /Block ML","Molniya-3 n†­48","1","0","2","14"
"RVSN USSR","1975-04-16","2022-08-15 08:00:00","Soyuz U","Cosmos 727","1","0","2","21"
"RVSN USSR","1975-04-18","2022-08-15 10:00:00","Voskhod","Cosmos 728","1","0","2","14"
"US Air Force","1975-04-18","2022-08-15 16:48:00","Titan III(24)B","OPS 4883","1","0","2","3"
"RVSN USSR","1975-04-19","2022-08-15 07:58:00","Cosmos-3M (11K65M)","Aryabhata","1","0","2","14"
"RVSN USSR","1975-04-22","2022-08-15 21:10:00","Cosmos-3M (11K65M)","Cosmos 729","1","0","2","14"
"RVSN USSR","1975-04-24","2022-08-15 08:04:00","Voskhod","Cosmos 730","1","0","2","14"
"RVSN USSR","1975-04-29","2022-08-15 10:23:00","Molniya-M /Block ML","Molniya-1 n†­49","1","0","2","14"
"ASI","1975-05-07","2022-08-15 22:45:00","Scout F1","Explorer 53","1","0","2","11"
"CNES","1975-05-17","2022-08-15 14:47:00","Diamant BP4","Castor & Pollux","1","0","2","17"
"Martin Marietta","1975-05-20","2022-08-15 14:03:00","Titan III(23)C","DSCS-II 5&6","1","0","4","3"
"RVSN USSR","1975-05-21","2022-08-15 06:59:00","Voskhod","Cosmos 731","1","0","2","21"
"General Dynamics","1975-05-22","2022-08-15 22:04:00","Atlas-SLV3D Centaur-D1A","Intelsat 4 F1","1","0","2","3"
"RVSN USSR","1975-05-24","2022-08-15 14:58:00","Soyuz","Soyuz 18","1","0","2","21"
"RVSN USSR","1975-05-25","2022-08-15 14:30:00","Soyuz U","Cosmos 1012","1","0","2","14"
"RVSN USSR","1975-05-28","2022-08-15 00:25:00","Cosmos-3M (11K65M)","Cosmos 732 to 739","1","0","2","14"
"RVSN USSR","1975-05-28","2022-08-15 07:29:00","Voskhod","Cosmos 740","1","0","2","21"
"RVSN USSR","1975-05-30","2022-08-15 06:45:00","Voskhod","Cosmos 741","1","0","2","14"
"RVSN USSR","1975-06-03","2022-08-15 09:00:00","Cosmos-3M (11K65M)","DS-U3 satellite","1","0","4","14"
"RVSN USSR","1975-06-03","2022-08-15 13:20:00","Voskhod","Cosmos 742","1","0","2","14"
"RVSN USSR","1975-06-05","2022-08-15 01:37:00","Molniya-M /Block ML","Molniya-1 n†­50 & SRET-2","1","0","2","14"
"Martin Marietta","1975-06-08","2022-08-15 18:30:00","Titan IIID","KH-9 & SSF-C-5","1","0","2","3"
"RVSN USSR","1975-06-12","2022-08-15 12:30:00","Soyuz U","Cosmos 743","1","0","2","14"
"General Dynamics","1975-06-18","2022-08-15 09:00:00","Atlas-SLV3A Agena-D","AFP-827 (Canyon-6)","1","0","2","3"
"RVSN USSR","1975-06-20","2022-08-15 06:54:00","Vostok-2M","Cosmos 744","1","0","2","14"
"RVSN USSR","1975-06-24","2022-08-15 12:05:00","Cosmos-2I (63SM)","Cosmos 745","1","0","2","14"
"RVSN USSR","1975-06-25","2022-08-15 12:59:00","Voskhod","Cosmos 746","1","0","2","14"
"RVSN USSR","1975-06-27","2022-08-15 13:00:00","Voskhod","Cosmos 747","1","0","2","14"
"RVSN USSR","1975-07-03","2022-08-15 13:40:00","Voskhod","Cosmos 748","1","0","2","14"
"RVSN USSR","1975-07-04","2022-08-15 00:56:00","Cosmos-3M (11K65M)","Cosmos 749","1","0","2","14"
"RVSN USSR","1975-07-08","2022-08-15 05:05:00","Molniya-M /Block ML","Molniya-2 n†­51","1","0","2","14"
"RVSN USSR","1975-07-11","2022-08-15 04:15:00","Vostok-2M","Meteor-2 n†­1","1","0","2","14"
"RVSN USSR","1975-07-15","2022-08-15 12:20:00","Soyuz U","Soyuz 19 (Apollo-Soyuz)","1","0","2","21"
"NASA","1975-07-15","2022-08-15 19:50:00","Saturn IB","ASTP (Apollo???Soyuz Test Project)","1","0","2","3"
"RVSN USSR","1975-07-17","2022-08-15 09:10:00","Cosmos-2I (63SM)","Cosmos 750","1","0","2","14"
"RVSN USSR","1975-07-23","2022-08-15 13:00:00","Voskhod","Cosmos 751","1","0","2","14"
"RVSN USSR","1975-07-24","2022-08-15 19:00:00","Cosmos-3M (11K65M)","Cosmos 752","1","0","2","14"
"CASC","1975-07-26","2022-08-15 13:30:00","Feng Bao 1","JSSW-3","1","0","2","12"
"RVSN USSR","1975-07-31","2022-08-15 13:00:00","Voskhod","Cosmos 753","1","0","2","14"
"RVSN USSR","1975-08-13","2022-08-15 07:21:00","Voskhod","Cosmos 754","1","0","2","21"
"RVSN USSR","1975-08-14","2022-08-15 13:29:00","Cosmos-3M (11K65M)","Cosmos 755","1","0","2","14"
"Martin Marietta","1975-08-20","2022-08-15 21:22:00","Titan IIIE","Viking 1","1","0","2","3"
"RVSN USSR","1975-08-22","2022-08-15 02:11:00","Vostok-2M","Cosmos 756","1","0","2","14"
"RVSN USSR","1975-08-27","2022-08-15 14:45:00","Voskhod","Cosmos 757","1","0","2","14"
"RVSN USSR","1975-09-02","2022-08-15 13:09:00","Molniya-M /Block ML","Molniya-1 n†­52","1","0","2","14"
"RVSN USSR","1975-09-05","2022-08-15 14:49:00","Soyuz U","Cosmos 758","1","0","2","14"
"RVSN USSR","1975-09-09","2022-08-15 00:19:00","Molniya-M /Block ML","Molniya-2 n†­53","1","0","2","14"
"MHI","1975-09-09","2022-08-15 05:30:00","N-I","Kiku 1","1","0","2","18"
"Martin Marietta","1975-09-09","2022-08-15 18:39:00","Titan IIIE","Viking 2","1","0","2","3"
"RVSN USSR","1975-09-12","2022-08-15 05:30:00","Soyuz U","Cosmos 759","1","0","2","14"
"RVSN USSR","1975-09-16","2022-08-15 09:00:00","Voskhod","Cosmos 760","1","0","2","21"
"RVSN USSR","1975-09-17","2022-08-15 07:10:00","Cosmos-3M (11K65M)","Cosmos 761 to 768","1","0","2","14"
"RVSN USSR","1975-09-18","2022-08-15 00:12:00","Vostok-2M","Meteor n†­32","1","0","2","14"
"RVSN USSR","1975-09-23","2022-08-15 10:00:00","Voskhod","Cosmos 769","1","0","2","14"
"RVSN USSR","1975-09-24","2022-08-15 12:00:00","Cosmos-3M (11K65M)","Cosmos 770","1","0","2","14"
"RVSN USSR","1975-09-25","2022-08-15 09:49:00","Soyuz U","Cosmos 771","1","0","2","14"
"General Dynamics","1975-09-26","2022-08-15 00:17:00","Atlas-SLV3D Centaur-D1AR","Intelsat 4A F1","1","0","2","3"
"CNES","1975-09-27","2022-08-15 14:00:00","Diamant BP4","Aura","1","0","2","17"
"RVSN USSR","1975-09-29","2022-08-15 04:19:00","Soyuz U","Cosmos 772","1","0","2","21"
"RVSN USSR","1975-09-30","2022-08-15 18:38:00","Cosmos-3M (11K65M)","Cosmos 773","1","0","2","14"
"RVSN USSR","1975-10-01","2022-08-15 08:30:00","Voskhod","Cosmos 774","1","0","2","21"
"US Air Force","1975-10-09","2022-08-15 19:15:00","Titan III(24)B","OPS 5499","1","0","2","3"
"RVSN USSR","1975-10-17","2022-08-15 14:29:00","Voskhod","Cosmos 776","1","0","2","14"
"RVSN USSR","1975-10-29","2022-08-15 11:00:00","Tsyklon-2","Cosmos 777","1","0","2","21"
"RVSN USSR","1975-11-04","2022-08-15 15:19:00","Voskhod","Cosmos 779","1","0","2","14"
"RVSN USSR","1975-11-14","2022-08-15 19:13:00","Molniya-M /Block ML","Molniya-3 n†­54","1","0","2","14"
"RVSN USSR","1975-11-15","2022-08-15 10:12:00","Cosmos-3M (11K65M)","Cosmos 778","1","0","2","14"
"CASC","1975-11-16","2022-08-15 03:29:00","Long March 2","FSW-0 No.1","1","0","2","12"
"RVSN USSR","1975-11-17","2022-08-15 14:36:00","Soyuz U","Soyuz 20","1","0","2","21"
"RVSN USSR","1975-11-21","2022-08-15 09:20:00","Voskhod","Cosmos 780","1","0","2","21"
"RVSN USSR","1975-11-21","2022-08-15 17:11:00","Cosmos-3M (11K65M)","Cosmos 781","1","0","2","14"
"RVSN USSR","1975-11-25","2022-08-15 17:00:00","Soyuz U","Cosmos 782","1","0","2","14"
"RVSN USSR","1975-11-28","2022-08-15 00:10:00","Cosmos-3M (11K65M)","Cosmos 783","1","0","2","14"
"RVSN USSR","1975-12-03","2022-08-15 10:00:00","Voskhod","Cosmos 784","1","0","2","14"
"Martin Marietta","1975-12-04","2022-08-15 20:38:00","Titan IIID","KH-9 & S3","1","0","2","3"
"RVSN USSR","1975-12-11","2022-08-15 17:00:00","Cosmos-3M (11K65M)","Intercosmos-14","1","0","2","14"
"RVSN USSR","1975-12-12","2022-08-15 12:45:00","Tsyklon-2","Cosmos 785","1","0","2","21"
"Martin Marietta","1975-12-14","2022-08-15 05:15:00","Titan III(23)C","DSP-5","1","0","2","3"
"CASC","1975-12-16","2022-08-15 09:21:00","Feng Bao 1","JSSW-4","1","0","2","12"
"RVSN USSR","1975-12-16","2022-08-15 09:50:00","Voskhod","Cosmos 786","1","0","2","21"
"RVSN USSR","1975-12-17","2022-08-15 11:06:00","Molniya-M /Block ML","Molniya-2 n†­55","1","0","2","14"
"RVSN USSR","1975-12-19","2022-08-15 14:00:00","Cosmos-3M (11K65M)","DS-P1 satellite","1","0","4","14"
"RVSN USSR","1975-12-22","2022-08-15 00:00:00","Molniya-M /Block SO-L","Prognoz n†­4","1","0","2","21"
"RVSN USSR","1975-12-25","2022-08-15 19:00:00","Vostok-2M","Meteor n†­33","1","0","2","14"
"RVSN USSR","1975-12-27","2022-08-15 10:22:00","Molniya-M /Block ML","Molniya-3 n†­56","1","0","2","14"
"RVSN USSR","1976-01-06","2022-08-15 04:52:00","Cosmos-3M (11K65M)","Cosmos 787","1","0","2","14"
"RVSN USSR","1976-01-07","2022-08-15 15:34:00","Voskhod","Cosmos 788","1","0","2","14"
"Martin Marietta","1976-01-15","2022-08-15 05:34:00","Titan IIIE","Helios-2","1","0","2","3"
"RVSN USSR","1976-01-20","2022-08-15 17:07:00","Cosmos-3M (11K65M)","Cosmos 789","1","0","2","14"
"RVSN USSR","1976-01-22","2022-08-15 11:38:00","Molniya-M /Block ML","Molniya-1 n†­57","1","0","2","21"
"RVSN USSR","1976-01-22","2022-08-15 22:26:00","Cosmos-3M (11K65M)","Cosmos 790","1","0","2","14"
"RVSN USSR","1976-01-28","2022-08-15 10:39:00","Cosmos-3M (11K65M)","Cosmos 791 to 798","1","0","2","14"
"RVSN USSR","1976-01-29","2022-08-15 08:30:00","Voskhod","Cosmos 799","1","0","2","21"
"General Dynamics","1976-01-29","2022-08-15 23:56:00","Atlas-SLV3D Centaur-D1AR","Intelsat 4A F2","1","0","2","3"
"RVSN USSR","1976-02-03","2022-08-15 08:16:00","Cosmos-3M (11K65M)","Cosmos 800","1","0","2","14"
"ISAS","1976-02-04","2022-08-15 05:00:00","Mu-III C","Corsa A","1","0","4","18"
"RVSN USSR","1976-02-05","2022-08-15 14:39:00","Cosmos-2I (63SM)","Cosmos 801","1","0","2","14"
"RVSN USSR","1976-02-11","2022-08-15 08:50:00","Voskhod","Cosmos 802","1","0","2","21"
"RVSN USSR","1976-02-12","2022-08-15 13:00:00","Cosmos-3M (11K65M)","Cosmos 803","1","0","2","14"
"RVSN USSR","1976-02-16","2022-08-15 08:29:00","Tsyklon-2","Cosmos 804","1","0","2","21"
"RVSN USSR","1976-02-20","2022-08-15 14:01:00","Soyuz U","Cosmos 805","1","0","2","14"
"MHI","1976-02-29","2022-08-15 03:30:00","N-I","Ume 1","1","0","2","18"
"RVSN USSR","1976-03-10","2022-08-15 08:00:00","Soyuz U","Cosmos 806","1","0","2","21"
"RVSN USSR","1976-03-11","2022-08-15 19:45:00","Molniya-M /Block ML","Molniya-1 n†­58","1","0","2","14"
"RVSN USSR","1976-03-12","2022-08-15 13:30:00","Cosmos-3M (11K65M)","Cosmos 807","1","0","2","14"
"RVSN USSR","1976-03-13","2022-08-15 17:15:00","Tsyklon-2","Cosmos 814","1","0","2","21"
"Martin Marietta","1976-03-14","2022-08-15 01:25:00","Titan III(23)C","LES-8, LES-9, Solrad-11a, Solrad-11b","1","0","2","3"
"RVSN USSR","1976-03-16","2022-08-15 17:22:00","Vostok-2M","Cosmos 808","1","0","2","14"
"RVSN USSR","1976-03-18","2022-08-15 09:15:00","Soyuz U","Cosmos 809","1","0","2","21"
"RVSN USSR","1976-03-19","2022-08-15 19:31:00","Molniya-M /Block ML","Molniya-1 n†­59","1","0","2","21"
"US Air Force","1976-03-22","2022-08-15 18:14:00","Titan III(24)B","OPS 7600","1","0","2","3"
"RVSN USSR","1976-03-26","2022-08-15 15:00:00","Voskhod","Cosmos 810","1","0","2","14"
"RVSN USSR","1976-03-31","2022-08-15 12:50:00","Soyuz M","Cosmos 811","1","0","2","14"
"RVSN USSR","1976-04-06","2022-08-15 04:14:00","Cosmos-3M (11K65M)","Cosmos 812","1","0","2","14"
"RVSN USSR","1976-04-07","2022-08-15 13:05:00","Vostok-2M","Meteor n†­34","1","0","2","14"
"RVSN USSR","1976-04-09","2022-08-15 08:30:00","Voskhod","Cosmos 813","1","0","2","14"
"RVSN USSR","1976-04-28","2022-08-15 09:30:00","Voskhod","Cosmos 815","1","0","2","14"
"RVSN USSR","1976-04-28","2022-08-15 13:30:00","Cosmos-3M (11K65M)","Cosmos 816","1","0","2","14"
"General Dynamics","1976-04-30","2022-08-15 19:12:00","Atlas-E/F MSD","NOSS-1","1","0","2","3"
"RVSN USSR","1976-05-05","2022-08-15 07:50:00","Voskhod","Cosmos 817","1","0","2","21"
"RVSN USSR","1976-05-08","2022-08-15 15:00:00","Cosmos-3M (11K65M)","Cosmos 822","1","0","2","14"
"RVSN USSR","1976-05-12","2022-08-15 17:57:00","Molniya-M /Block ML","Molniya-3 n†­60","1","0","2","14"
"General Dynamics","1976-05-13","2022-08-15 22:28:00","Atlas-SLV3D Centaur-D1AR","Comstar D1","1","0","2","3"
"RVSN USSR","1976-05-15","2022-08-15 13:30:00","Vostok-2M","Meteor n†­35","1","0","2","14"
"RVSN USSR","1976-05-18","2022-08-15 11:00:00","Cosmos-2I (63SM)","Cosmos 818","1","0","2","14"
"RVSN USSR","1976-05-20","2022-08-15 09:00:00","Voskhod","Cosmos 819","1","0","2","21"
"RVSN USSR","1976-05-21","2022-08-15 07:00:00","Soyuz U","Cosmos 820","1","0","2","14"
"RVSN USSR","1976-05-26","2022-08-15 09:00:00","Voskhod","Cosmos 821","1","0","2","14"
"RVSN USSR","1976-06-02","2022-08-15 22:30:00","Cosmos-3M (11K65M)","Cosmos 823","1","0","2","14"
"Martin Marietta","1976-06-02","2022-08-15 00:00:00","Titan III(34)B Agena-D","Quasar 1","1","0","2","3"
"RVSN USSR","1976-06-08","2022-08-15 07:00:00","Voskhod","Cosmos 824","1","0","2","21"
"RVSN USSR","1976-06-15","2022-08-15 13:19:00","Cosmos-3M (11K65M)","Cosmos 825 to 832","1","0","2","14"
"RVSN USSR","1976-06-16","2022-08-15 13:09:00","Voskhod","Cosmos 833","1","0","2","14"
"RVSN USSR","1976-06-19","2022-08-15 00:00:00","Cosmos-3M (11K65M)","Intercosmos-15","1","0","2","14"
"RVSN USSR","1976-06-24","2022-08-15 07:10:00","Soyuz U","Cosmos 834","1","0","2","14"
"Martin Marietta","1976-06-26","2022-08-15 03:00:00","Titan III(23)C","DSP-6","1","0","2","3"
"RVSN USSR","1976-06-29","2022-08-15 07:20:00","Voskhod","Cosmos 835","1","0","2","21"
"RVSN USSR","1976-06-29","2022-08-15 08:12:00","Cosmos-3M (11K65M)","Cosmos 836","1","0","2","14"
"RVSN USSR","1976-07-01","2022-08-15 08:05:00","Molniya-M /Block ML","Cosmos 837","1","0","1","14"
"RVSN USSR","1976-07-02","2022-08-15 10:30:00","Tsyklon-2","Cosmos 838","1","0","2","21"
"RVSN USSR","1976-07-06","2022-08-15 12:08:00","Soyuz","Soyuz 21","1","0","2","21"
"Martin Marietta","1976-07-08","2022-08-15 18:30:00","Titan IIID","KH-9, S3 & SSF-D-1","1","0","2","3"
"RVSN USSR","1976-07-08","2022-08-15 21:08:00","Cosmos-3M (11K65M)","Cosmos 839","1","0","2","14"
"RVSN USSR","1976-07-14","2022-08-15 09:00:00","Soyuz U","Cosmos 840","1","0","2","14"
"RVSN USSR","1976-07-15","2022-08-15 13:11:00","Cosmos-3M (11K65M)","Cosmos 841","1","0","2","14"
"RVSN USSR","1976-07-21","2022-08-15 10:20:00","Cosmos-3M (11K65M)","Cosmos 842","1","0","2","14"
"RVSN USSR","1976-07-21","2022-08-15 15:14:00","Tsyklon-2","Cosmos 843","1","0","2","21"
"RVSN USSR","1976-07-22","2022-08-15 15:40:00","Soyuz U","Cosmos 844","1","0","2","14"
"General Dynamics","1976-07-22","2022-08-15 22:04:00","Atlas-SLV3D Centaur-D1AR","Comstar D2","1","0","2","3"
"RVSN USSR","1976-07-23","2022-08-15 15:49:00","Molniya-M /Block ML","Molniya-1 n†­62","1","0","2","21"
"RVSN USSR","1976-07-27","2022-08-15 05:21:00","Cosmos-3M (11K65M)","Cosmos 845","1","0","2","14"
"RVSN USSR","1976-07-27","2022-08-15 12:00:00","Cosmos-3M (11K65M)","Intercosmos-16","1","0","2","14"
"RVSN USSR","1976-07-29","2022-08-15 20:02:00","Cosmos-3M (11K65M)","Cosmos 846","1","0","2","14"
"RVSN USSR","1976-08-04","2022-08-15 13:40:00","Soyuz U","Cosmos 847","1","0","2","14"
"Martin Marietta","1976-08-06","2022-08-15 00:00:00","Titan III(34)B Agena-D","Quasar 2","1","0","2","3"
"RVSN USSR","1976-08-12","2022-08-15 13:30:00","Soyuz U","Cosmos 848","1","0","2","14"
"RVSN USSR","1976-08-18","2022-08-15 09:30:00","Cosmos-2I (63SM)","Cosmos 849","1","0","2","14"
"RVSN USSR","1976-08-26","2022-08-15 11:00:00","Cosmos-2I (63SM)","Cosmos 850","1","0","2","14"
"RVSN USSR","1976-08-27","2022-08-15 14:34:00","Vostok-2M","Cosmos 851","1","0","2","14"
"RVSN USSR","1976-08-28","2022-08-15 09:00:00","Soyuz U","Cosmos 852","1","0","2","21"
"CASC","1976-08-30","2022-08-15 11:45:00","Feng Bao 1","JSSW-5","1","0","2","12"
"RVSN USSR","1976-09-01","2022-08-15 03:23:00","Molniya-M /Block ML","Cosmos 853","1","0","1","14"
"RVSN USSR","1976-09-03","2022-08-15 09:20:00","Soyuz U","Cosmos 854","1","0","2","14"
"RVSN USSR","1976-09-15","2022-08-15 09:48:00","Soyuz U","Soyuz 22","1","0","2","21"
"US Air Force","1976-09-15","2022-08-15 18:50:00","Titan III(24)B","OPS 8533","1","0","2","3"
"RVSN USSR","1976-09-21","2022-08-15 11:40:00","Soyuz U","Cosmos 855","1","0","2","14"
"RVSN USSR","1976-09-22","2022-08-15 09:30:00","Soyuz U","Cosmos 856","1","0","2","21"
"RVSN USSR","1976-09-24","2022-08-15 15:00:00","Soyuz U","Cosmos 857","1","0","2","14"
"RVSN USSR","1976-09-29","2022-08-15 07:04:00","Cosmos-3M (11K65M)","Cosmos 858","1","0","2","14"
"RVSN USSR","1976-10-04","2022-08-15 11:00:00","Soyuz U","Zenit-4MKT n†­370","1","0","4","14"
"RVSN USSR","1976-10-10","2022-08-15 09:35:00","Soyuz U","Cosmos 859","1","0","2","21"
"RVSN USSR","1976-10-14","2022-08-15 17:39:00","Soyuz","Soyuz 23","1","0","2","21"
"RVSN USSR","1976-10-15","2022-08-15 22:59:00","Vostok-2M","Meteor n†­36","1","0","2","14"
"RVSN USSR","1976-10-17","2022-08-15 18:06:00","Tsyklon-2","Cosmos 860","1","0","2","21"
"RVSN USSR","1976-10-21","2022-08-15 16:53:00","Tsyklon-2","Cosmos 861","1","0","2","21"
"RVSN USSR","1976-10-22","2022-08-15 09:11:00","Molniya-M /Block 2BL","Cosmos 862","1","0","2","14"
"RVSN USSR","1976-10-25","2022-08-15 14:30:00","Soyuz U","Cosmos 863","1","0","2","14"
"RVSN USSR","1976-10-29","2022-08-15 12:39:00","Cosmos-3M (11K65M)","Cosmos 864","1","0","2","14"
"RVSN USSR","1976-11-01","2022-08-15 11:20:00","Soyuz U","Cosmos 865","1","0","2","14"
"CASC","1976-11-10","2022-08-15 09:05:00","Feng Bao 1","JSSW-6","1","0","4","12"
"RVSN USSR","1976-11-11","2022-08-15 10:45:00","Soyuz U","Cosmos 866","1","0","2","21"
"RVSN USSR","1976-11-23","2022-08-15 16:27:00","Soyuz U","Cosmos 867","1","0","2","14"
"RVSN USSR","1976-11-25","2022-08-15 00:00:00","Molniya-M /Block SO-L","Prognoz n†­5","1","0","2","21"
"RVSN USSR","1976-11-26","2022-08-15 14:30:00","Tsyklon-2","Cosmos 868","1","0","2","21"
"RVSN USSR","1976-11-29","2022-08-15 16:04:00","Soyuz U","Cosmos 869","1","0","2","21"
"RVSN USSR","1976-12-02","2022-08-15 00:17:00","Cosmos-3M (11K65M)","Cosmos 870","1","0","2","14"
"RVSN USSR","1976-12-02","2022-08-15 02:44:00","Molniya-M /Block ML","Molniya-2 n†­64","1","0","2","14"
"CASC","1976-12-07","2022-08-15 04:38:00","Long March 2","FSW-0 No.2","1","0","2","12"
"RVSN USSR","1976-12-09","2022-08-15 10:00:00","Soyuz U","Cosmos 879","1","0","2","14"
"RVSN USSR","1976-12-09","2022-08-15 20:00:00","Cosmos-3M (11K65M)","Cosmos 880","1","0","2","14"
"RVSN USSR","1976-12-15","2022-08-15 13:59:00","Cosmos-3M (11K65M)","Cosmos 883","1","0","2","14"
"RVSN USSR","1976-12-16","2022-08-15 10:23:00","Cosmos-3M (11K65M)","Cosmos 871 to 878","1","0","2","14"
"RVSN USSR","1976-12-17","2022-08-15 09:30:00","Soyuz U","Cosmos 884","1","0","2","21"
"RVSN USSR","1976-12-17","2022-08-15 12:00:00","Cosmos-3M (11K65M)","Cosmos 885","1","0","2","14"
"Martin Marietta","1976-12-19","2022-08-15 18:19:00","Titan IIID","KH-11","1","0","2","3"
"RVSN USSR","1976-12-27","2022-08-15 12:05:00","Tsyklon-2","Cosmos 886","1","0","2","21"
"RVSN USSR","1976-12-28","2022-08-15 06:38:00","Molniya-M /Block ML","Molniya-3 n†­65","1","0","2","14"
"RVSN USSR","1976-12-28","2022-08-15 07:49:00","Cosmos-3M (11K65M)","Cosmos 887","1","0","2","14"
"RVSN USSR","1977-01-06","2022-08-15 09:40:00","Soyuz U","Cosmos 888","1","0","2","21"
"RVSN USSR","1977-01-06","2022-08-15 23:17:00","Vostok-2M","Meteor-2 n†­2","1","0","2","14"
"RVSN USSR","1977-01-20","2022-08-15 08:30:00","Soyuz U","Cosmos 889","1","0","2","21"
"RVSN USSR","1977-01-20","2022-08-15 20:05:00","Cosmos-3M (11K65M)","Cosmos 890","1","0","2","14"
"RVSN USSR","1977-02-02","2022-08-15 12:30:00","Cosmos-3M (11K65M)","Cosmos 891","1","0","2","14"
"Martin Marietta","1977-02-06","2022-08-15 06:00:00","Titan III(23)C","DSP-7","1","0","2","3"
"RVSN USSR","1977-02-07","2022-08-15 16:11:00","Soyuz U","Soyuz 24","1","0","2","21"
"RVSN USSR","1977-02-09","2022-08-15 11:30:00","Soyuz U","Cosmos 892","1","0","2","14"
"RVSN USSR","1977-02-11","2022-08-15 14:57:00","Molniya-M /Block ML","Molniya-2 n†­66","1","0","2","14"
"RVSN USSR","1977-02-15","2022-08-15 00:00:00","Cosmos-3M (11K65M)","Cosmos 893","1","0","2","14"
"ISAS","1977-02-19","2022-08-15 05:15:00","Mu-III H","Tansei 3","1","0","2","18"
"RVSN USSR","1977-02-21","2022-08-15 17:20:00","Cosmos-3M (11K65M)","Cosmos 894","1","0","2","14"
"RVSN USSR","1977-02-22","2022-08-15 09:19:00","Soyuz U","Zenit-4MK n†­381","1","0","4","21"
"MHI","1977-02-23","2022-08-15 08:50:00","N-I Star-37E","Kiku 2","1","0","2","18"
"RVSN USSR","1977-02-26","2022-08-15 21:18:00","Vostok-2M","Cosmos 895","1","0","2","14"
"RVSN USSR","1977-03-03","2022-08-15 10:30:00","Soyuz U","Cosmos 896","1","0","2","14"
"RVSN USSR","1977-03-10","2022-08-15 11:00:00","Soyuz U","Cosmos 897","1","0","2","14"
"US Air Force","1977-03-13","2022-08-15 18:41:00","Titan III(24)B","OPS 4915","1","0","2","3"
"RVSN USSR","1977-03-17","2022-08-15 08:30:00","Soyuz U","Cosmos 898","1","0","2","14"
"RVSN USSR","1977-03-24","2022-08-15 11:51:00","Molniya-M /Block ML","Molniya-1 n†­67","1","0","2","14"
"RVSN USSR","1977-03-24","2022-08-15 22:11:00","Cosmos-3M (11K65M)","Cosmos 899","1","0","2","14"
"RVSN USSR","1977-03-29","2022-08-15 00:00:00","Cosmos-3M (11K65M)","Cosmos 900","1","0","2","14"
"RVSN USSR","1977-04-05","2022-08-15 02:05:00","Vostok-2M","Meteor n†­37","1","0","2","14"
"RVSN USSR","1977-04-05","2022-08-15 10:30:00","Cosmos-2I (63SM)","Cosmos 901","1","0","2","14"
"RVSN USSR","1977-04-07","2022-08-15 08:59:00","Soyuz U","Cosmos 902","1","0","2","14"
"RVSN USSR","1977-04-11","2022-08-15 01:38:00","Molniya-M /Block 2BL","Cosmos 903","1","0","2","14"
"RVSN USSR","1977-04-20","2022-08-15 09:00:00","Soyuz U","Cosmos 904","1","0","2","21"
"RVSN USSR","1977-04-26","2022-08-15 14:45:00","Soyuz U","Cosmos 905","1","0","2","14"
"RVSN USSR","1977-04-27","2022-08-15 00:00:00","Cosmos-3M (11K65M)","Cosmos 906","1","0","2","14"
"RVSN USSR","1977-04-28","2022-08-15 09:10:00","Molniya-M /Block ML","Molniya-3 n†­68","1","0","2","14"
"RVSN USSR","1977-05-05","2022-08-15 14:00:00","Soyuz U","Cosmos 907","1","0","2","14"
"Martin Marietta","1977-05-12","2022-08-15 14:27:00","Titan III(23)C","DSCS-II 7&8","1","0","2","3"
"RVSN USSR","1977-05-17","2022-08-15 10:10:00","Soyuz U","Cosmos 908","1","0","2","21"
"RVSN USSR","1977-05-19","2022-08-15 16:30:00","Cosmos-3M (11K65M)","Cosmos 909","1","0","2","14"
"RVSN USSR","1977-05-23","2022-08-15 12:14:00","Tsyklon-2","Cosmos 910","1","0","2","21"
"General Dynamics","1977-05-23","2022-08-15 18:13:00","Atlas-SLV3A Agena-D","AFP-827 (Canyon-7)","1","0","2","3"
